Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
08/03/2026 20:20:43,08/03/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Chamados para amar e servir ,SIM,"Nasci para amar, nasci para servir",51,80,39,6,32,
04/03/2026 19:54:35,04/03/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Uma Vida Vitóriosa ,SIM,Inabaláveis ,31,41,19,03,28,
01/03/2026 20:31:49,01/03/2026,19:00:00,Culto,Culto de Celebração,Pastor kleyton ,MAIS QUE Palavras ,SIM,Nasci para Amar/nasci para servir,56,107,44,10,44,
25/02/2026 19:50:33,25/02/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Oque a Fé Produz,SIM,Segredos Da Fé ,24,29,19,03,31,
22/02/2026 20:18:44,22/02/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Famílias fortes ,SIM,Família projeto de Deus ,72,105,40,10,34,
18/02/2026 20:09:25,18/02/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Segredos da fé ,SIM,O que a fé Produz ,33,44,22,06,30,
15/02/2026 20:00:46,15/02/2026,19:00:00,Culto,Culto de Celebração,Pastor kleyton ,Deus é o construtor da familia parte 2,SIM,Familia projeto de Deus,30,87,40,10,26,
11/02/2026 20:08:59,11/02/2026,19:00:00,Culto,Culto de Quarta,Pastor Klayton,Construindo Uma Fé Robusta,SIM,Segredos da Fé ,21,35,17,05,25,
08/02/2026 20:05:24,08/02/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Deus é o Construtor Da Família ,SIM,Família Projeto de Deus,54,79,41,6,28,
04/02/2026 20:18:19,04/02/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Segredos da Fé ,SIM,A Fé que Deus Honra,22,45,20,03,21,
01/02/2026 20:16:12,01/02/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Família Projeto de Deus ,SIM,Família Sobre a Rocha ,51,68,35,09,39,
28/01/2026 20:11:02,28/01/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Segredos da fé ,SIM,A fé que Agrada Deus (Parte 2),27,36,04,22,29,
25/01/2026 20:22:20,25/01/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton,Maravilhas de Deus ,SIM,Ambientes de Maravilhas ,41,66,42,07,37,
21/01/2026 19:45:28,21/01/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,A Fé Que Agrada a Deus,SIM,Segredos Da Fé ,27,32,15,7,27,"
"
18/01/2026 20:07:43,18/01/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton,Ativando Maravilhas - Parte 2,SIM,Maravilhas de Deus,46,78,38,9,34,
14/01/2026 19:55:29,14/01/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Segredos da fé ,SIM,A Fé que Vence,32,55,23,04,23,
11/01/2026 20:14:26,11/01/2026,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Ativando Maravilhas,SIM,Maravilhas de Deus,35,66,29,6,37,
07/01/2026 19:53:05,07/01/2026,19:00:00,Culto,Culto de Quarta,Pr Klayton,Segredos da Fé,SIM,Segredos da Fé ,21,33,21,7,26,
04/01/2026 20:11:14,04/01/2026,19:00:00,Culto,Culto de Celebração,Pastor kleyton ,Deus de Maravilhas ,NÃO,,61,108,48,10,46,
28/12/2025 20:18:44,28/12/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Palavras Rhema,SIM,Chamados pela Graça ,28,41,24,06,32,
24/12/2025 20:07:55,24/12/2025,19:00:00,Culto,Culto de Quarta,Pastor kleyton ,Josue 1.8,SIM,O codigo de Deus,08,14,02,08,24,
21/12/2025 20:16:18,21/12/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Maravilhosa graça,SIM,Hanukkah,38,63,30,8,43,
17/12/2025 19:39:48,17/12/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Fé e Ação ,SIM,Paz e Provisão ,17,22,12,5,62,
14/12/2025 20:20:39,14/12/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Fórmulas Mágicas ,SIM,Palavras Rhema,44,81,32,07,28,
10/12/2025 19:50:27,10/12/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Paz e Provisão ,SIM,Planejamento e Organização ,23,33,07,16,29,
07/12/2025 20:16:35,07/12/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Palavras Rhema ,SIM,Restituição ,48,75,28,08,44,
03/12/2025 20:07:44,03/12/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Paz e Provisão ,SIM,Sonhos,14,25,12,05,25,
30/11/2025 20:20:12,30/11/2025,19:00:00,Culto,Culto de Celebração,Pastor kleyton,Familias Restauradas ,SIM,É impossível mas Deus pode ,58,86,33,13,29,
26/11/2025 20:04:17,26/11/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Obediência ,SIM,Paz e Provisão ,11,30,13,03,28,
23/11/2025 20:13:31,23/11/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Deus conosco,SIM,É impossível mas Deus pode,39,68,24,10,33,
19/11/2025 20:02:19,19/11/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Paz e Provisão ,SIM,Unidade ,23,36,12,05,27,
16/11/2025 20:03:28,16/11/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton,Tempo oportuno,SIM,"É impossível, mas Deus pode",71,98,21,6,32,
12/11/2025 19:43:15,12/11/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Meditação ,SIM,Paz e provisão ,27,46,32,7,24,
09/11/2025 20:17:25,09/11/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Deus de Milagres ,SIM,É impossível mas Deus pode,47,67,33,7,36,
05/11/2025 19:53:05,05/11/2025,19:00:00,Culto,Culto de Quarta,Pasto Klayton,ALIANÇA ,SIM,Paz e previsão ,26,42,19,04,25,
02/11/2025 20:29:51,02/11/2025,19:00:00,Culto,Culto de Celebração,Pastor kleyton,E impossível mas Deus pode,SIM,O Deus do impossível ,69,104,40,8,51,
29/10/2025 20:02:00,29/10/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton,Gerando milagres ,SIM,Campanha de milagres,29,47,14,7,27,
26/10/2025 20:03:15,26/10/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,A última palavra é de jesus,SIM,É impossível mas Deus pode,22,29,13,3,33,
22/10/2025 20:10:48,22/10/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Campanha de Milagres ,SIM,A Fé é o Condutor de Milagre ,28,43,22,05,25,
19/10/2025 20:22:12,19/10/2025,19:00:00,Culto,Culto de Celebração,Pastor klayton,Jesus a razão da minha esperança ,SIM,Tabernáculo ,59,97,38,4,34,
15/10/2025 19:48:44,15/10/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton,Campanha de Milagres ,SIM,A Fé está acima da lógica ,27,43,18,04,26,
12/10/2025 20:07:49,12/10/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,DEUS DE MARAVILHAS ,SIM,É IMPOSSÍVEL MAIS DEUS PODE,51,83,49,09,32,
08/10/2025 20:15:17,08/10/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Campanha de milagres ,NÃO,,22,43,22,07,25,
05/10/2025 20:22:18,05/10/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,É impossível mas Deus Pode,SIM,Maravilhas,51,104,55,10,54,
01/10/2025 20:15:07,01/10/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Campanha de Milagres ,NÃO,,32,41,15,07,27,
28/09/2025 20:08:45,28/09/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton,O VERDADEIRO EVANGELHO,SIM,O EVANGELHO,51,68,30,9,29,
24/09/2025 19:59:11,24/09/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,As Palavras de Jesus Curam.,SIM,Basta uma Palavra ,26,34,13,03,25,
21/09/2025 20:07:02,21/09/2025,19:00:00,Culto,Culto de Celebração,Ap. João Padilha,O evangelho do reino,SIM,O evangelho ,65,102,37,10,40,
17/09/2025 19:49:52,17/09/2025,19:00:00,Culto,Culto de Quarta,Robert dodoo,O jesus que cura,NÃO,O jesus que cura,31,43,17,5,29,
14/09/2025 20:06:09,14/09/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton ,O poder que transforma  Vidas,SIM,O Evangelho ,43,78,20,7,37,
10/09/2025 19:46:27,10/09/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton ,A alma abatida ,SIM,As palavras de Jesus curam,35,42,25,8,25,
07/09/2025 20:32:49,07/09/2025,19:00:00,Culto,Culto de Celebração,Pastor kleiton,O Evangelho ,SIM,O Poder de Deus,60,83,33,03,56,
03/09/2025 19:51:22,03/09/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,As Palavras de Jesus Curam,SIM,O coração ferido.,34,52,18,05,25,
31/08/2025 20:07:11,31/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton,Vencendo o espirito de orfandade,SIM,Paternidade e orfandade ,65,87,31,10,31,
27/08/2025 19:53:31,27/08/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Ele veio para Libertar os Cativos ,SIM,Vivendo Sem Amarras,31,47,25,05,27,
24/08/2025 20:10:03,24/08/2025,19:00:00,Culto,Culto de Celebração,Pastor kleiton,A casa do pai,SIM,Paternidade e Orfandade ,58,73,29,07,42,
20/08/2025 19:41:21,20/08/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton ,Vencendo fortalezas,SIM,Ele veio para libertar os cativos,38,52,4,17,27,
17/08/2025 20:19:31,17/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton,Paternidade e Orfandade ,SIM,Igreja Família ,54,96,45,10,37,
13/08/2025 19:40:15,13/08/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Ele veio para Libertar os Cativos ,SIM,Negativo ou Positivo ,32,51,19,05,26,
10/08/2025 20:09:05,10/08/2025,19:00:00,Culto,Culto de Celebração,Pastor klayton,Família biológica ,SIM,Paternidade e Orfandade ,46,58,25,5,37,
06/08/2025 19:59:47,06/08/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton,Ele Veio Para Libertar os Cativos,SIM,Quebrando correntes espirituais ,20,31,11,05,24,
03/08/2025 20:33:29,03/08/2025,19:00:00,Culto,Culto de Celebração,Pr Klayton ,Paternidade: Orfandade ,SIM,Deus Pai,55,96,38,11,51,
30/07/2025 19:58:58,30/07/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Ele veio para libertar os Cativos,SIM,Seja Livre Parte 5,31,38,05,23,25,
27/07/2025 20:08:30,27/07/2025,19:00:00,Culto,Culto de Celebração,Pastor kleiton,Seja um ativador de Milagres,SIM,Gerando Milagres,49,79,32,05,37,
23/07/2025 19:49:26,23/07/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton,"Seja livre, parte 4",SIM,Ele veio para libertar os Cativos,34,54,20,4,27,
20/07/2025 20:06:32,20/07/2025,19:00:00,Culto,Culto de Celebração,Pr. Keiton,Ativando milagres,SIM,Gerando milagres ,50,87,38,8,37,
16/07/2025 19:54:51,16/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton,seja livre parte 3,SIM,Ele veio para libertar os cativos,32,44,23,5,29,
13/07/2025 20:09:46,13/07/2025,19:00:00,Culto,Culto de Celebração,Pastor Klayton,Gerando Milagres,SIM,Agentes de milagres,53,88,44,6,31,
09/07/2025 19:49:19,09/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton,Ele veio para liberar os cativos ,SIM,Seja livre parte 2,35,46,19,2,23,
06/07/2025 20:30:37,06/07/2025,19:00:00,Culto,Culto de Celebração,Pr klayton,Gerando milagres,SIM,Gerando milagres,61,97,48,8,50,
02/07/2025 19:43:50,02/07/2025,19:00:00,Culto,Culto de Quarta,Pr Klayton ,Ele veio pra liberar os cativos,SIM,Seja Livre,25,38,08,02,23,
29/06/2025 19:55:45,29/06/2025,19:00:00,Culto,Culto de Celebração,Pr. Kleiton,A benção no lar pela presença de Deus,SIM,Família para Deus,55,71,35,10,25,
25/06/2025 19:35:56,25/06/2025,19:00:00,Culto,Culto de Quarta,Pastor kleyton,Quebrando maldições ,SIM,Ele veio pra libertar os cativos,28,43,18,3,26,
22/06/2025 20:09:01,22/06/2025,19:00:00,Culto,Culto de Celebração,Pr. Kleiton, Lute pela sua casa,SIM,Família para Deus,68,98,48,5,33,
18/06/2025 19:47:09,18/06/2025,19:00:00,Culto,Culto de Quarta,Pr klayton,Seja livre ,SIM,Ele veio pra liberar os cativos,32,42,23,3,19,
15/06/2025 20:23:44,15/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Kleiton ,*Tema Família para Deus,SIM, Um lar acima das Tempestades,77,118,45,10,32,
11/06/2025 19:35:43,11/06/2025,19:00:00,Culto,Culto de Quarta,Pr. Keliton,Seja Livre,SIM,Ele veio para libertar os cativos,30,44,19,1,20,
08/06/2025 20:03:48,08/06/2025,19:00:00,Culto,Culto de Celebração,AP. Edmilson,Família para Deus,NÃO,,84,101,41,5,37,
04/06/2025 19:52:08,04/06/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo, Ele.veio para libertar os cativos ,SIM, Ele.veio para libertar os cativos,30,51,22,4,24,
01/06/2025 20:08:12,01/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,Cristo o ungido,NÃO,,75,109,48,12,43,
28/05/2025 20:18:05,28/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo ,Prosperando no deserto,SIM,Tsaleatch você está autorizado a prosperar ,19,31,18,0,24,
25/05/2025 20:03:35,25/05/2025,19:00:00,Culto,Culto de Celebração,Pr. Eduardo,Transformados pela fé,SIM,Minha fé tem fundamento,76,117,40,11,30,
21/05/2025 20:02:40,21/05/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo,Chaves da prosperidade,SIM, Tsaleaach - Vc está autorizado a prosperar ,35,53,28,4,19,
18/05/2025 20:23:09,18/05/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,A fe vem pelo ouvir e ouvir vem pela Palavra de Deus,SIM,A minha fé tem Fundamento ,68,102,49,6,30,
17/05/2026 20:31:54,17/05/2025,19:00:00,Culto,Culto de Celebração,Pr. Klayton,Uma admiração fiel e multiplicadora ,SIM,40 dias de prosperidade Bíblica ,61,93,40,08,37,
14/05/2025 19:54:05,14/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo,Tsaleach-a você está autorizado a prosperar,SIM,Autorizado a Avançar ,40,53,24,4,28,
11/05/2025 20:04:37,11/05/2025,19:00:00,Culto,Culto de Celebração,Pr. Eduardo ," Firmados na palavra, imparáveis na fé",SIM,Minha Fé tem Fundamento,45,84,38,7,26,
07/05/2025 20:02:11,07/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo ,Seja próspero,SIM,Tsaleach,27,44,18,1,23,
04/05/2025 20:29:59,04/05/2025,19:00:00,Culto,Culto de Celebração,Pr Eduardo ,Minha fé tem Fundamento ,SIM,Firmados na Rocha,66,114,53,10,43,
30/04/2025 20:02:52,30/04/2025,19:00:00,Culto,Culto de Quarta,Pr Eduardo ,Mais que Vencedores,SIM,Vencendo Desafios ,29,37,17,02,14,
27/04/2025 20:30:49,27/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,Riquezas Encobertas Tesouros Escondidos,SIM,Tesouros nas Profundezas ,84,143,37,8,30,
23/04/2025 19:51:24,23/04/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo,Inabaláveis né fé ,SIM,Vencendo desafios.,36,67,22,3,25,
20/04/2025 20:22:57,20/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,Cristo na Páscoa ,NÃO,,77,131,42,13,35,
16/04/2025 19:59:47,16/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo,"Quando a fé se levanta,os inimigos caem",SIM,Vencendo desafios ,35,60,27,8,27,
13/04/2025 20:37:18,13/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo,A Luz Releva o Tesouro,SIM,Riquezas encobertas Tesouros escondidos,65,123,59,10,33,
09/04/2025 20:10:18,09/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo,Vencendo desafios ,SIM,A fé que não desiste vence ,29,46,26,3,22,
06/04/2025 20:08:49,06/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo,Riquezas Encobertas e Tesouros Escondidos ,SIM,Riquezas Encobertas e Tesouros Escondidos ,97,145,58,13,49,
02/04/2025 20:08:57,02/04/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo , Blindando a mente contra os ataques do inimigo parte3 ,SIM,Vencendo desafios ,45,66,26,9,26,
30/03/2025 20:27:08,30/03/2025,19:00:00,Culto,Culto de Celebração,Pr Eduardo ,Tudo pela Oração ,SIM,Uma vida Abençoada ,66,117,41,12,41,
26/03/2025 20:05:07,26/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo,Blindando a mente Contra os ataques do inimigo parte 2,SIM,Vencendo desafios ,40,66,24,5,26,
23/03/2025 20:13:10,23/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,O grande lucro,SIM,Uma vida abençoada ,83,115,52,12,28,
19/03/2025 20:20:01,19/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo ,Blindando a mente contra os ataques do inimigo ,SIM,Vencendo desafios ,41,52,35,10,25,
16/03/2025 20:23:33,16/03/2025,19:00:00,Culto,Culto de Celebração,Pr Eduardo ,Uma Vida Abençoada ,SIM,O Princípio da Multiplicação ,67,115,50,09,30,
12/03/2025 20:04:43,12/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo ,Vencendo desafios ,NÃO,,53,86,31,8,23,
09/03/2025 20:13:03,09/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo,Deus recompensa a boa mordomia,SIM,Uma vida abençoada ,87,131,47,10,32,
05/03/2025 20:23:20,05/03/2025,19:00:00,Culto,Culto de Quarta,Pastora Fernanda,Vencendo Desafios,SIM,,60,86,41,07,28,
23/02/2025 20:17:09,23/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,Como quebrar a influência de mamom,NÃO,Uma vida abençoada ,86,134,46,13,34,
19/02/2025 20:06:36,19/02/2025,19:00:00,Culto,Culto de Quarta,Pastor Eduardo,O Milagre do Novo Nascimento,SIM,Os Milagres de Jesus ,42,70,39,7,24,
16/02/2025 20:10:56,16/02/2025,19:00:00,Culto,Culto de Celebração,PR. Eduardo,O O Princípio do primeiro,SIM,Uma vida abençoada ,75,123,48,14,31,
