Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
16/03/2025 12:01:39,16/03/2025,10:00:00,Culto,Culto de Celebração,Pastora Cida ,O Princípio da Multiplicação ,SIM,Uma vida Abençoada ,21,31,9,0,19,
16/03/2025 22:14:21,16/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,O Princípio da Multiplicação ,SIM,Uma vida Abençoada ,79,108,31,9,31,Apelo-  5
19/03/2025 22:37:14,19/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Blindando a Mente Contra o Ataque do inimigo ,SIM,Vencendo Desafios ,40,61,12,0,21,
23/03/2025 10:39:30,23/03/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,O Grande Lucro,SIM,Uma vida Abençoada ,29,57,17,3,20,2- Apelo 
23/03/2025 22:16:30,23/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Leonardo ,O Grande Lucro ,SIM,Uma vida Abençoada ,73,95,30,6,29,
26/03/2025 20:45:02,26/03/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Blindando a Mente Contra os Ataques do Inimigos Parte 2,SIM,Vencendo Desafios ,33,45,14,0,19,
29/03/2025 01:26:13,28/03/2025,22:00:00,Oração,Noite de Avivamento,Pastora Cida ,A oração é melhor do que o pânico ,NÃO,,23,28,0,0,5,Batismo no Espírito Santo -1
30/03/2025 11:06:28,30/03/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Tudo pela Oração ,SIM,Uma vida Abençoada ,34,64,13,1,20,
30/03/2025 22:12:47,30/03/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Tudo Pela Oração,SIM,Uma vida Abençoada ,82,116,30,8,35,Apelo-  1
02/04/2025 22:15:07,02/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Blindando a mente contra os ataques do inimigo parte 3,SIM,Vencendo Desafios ,41,56,13,0,19,Apelo -3
06/04/2025 11:08:44,06/04/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Riquezas Encoberta Tesouros Escondidos ,SIM,Riquezas Encoberta Tesouros Escondidos ,37,49,12,1,30,
06/04/2025 21:19:17,06/04/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Riquezas Encobertas Tesouros Escondidos ,SIM,Riquezas Encobertas Tesouros Escondidos ,25,41,14,5,38,
06/04/2025 21:24:00,06/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Riquezas Encobertas Tesouros Escondidos ,SIM,Riquezas Encobertas Tesouros Escondidos ,70,97,27,9,38,Apelo -1
09/04/2025 20:46:10,09/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,A Fé que não Desiste Vence,SIM,Vencendo Desafios ,48,44,8,0,20,
13/04/2025 11:19:24,13/04/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,A luz Revela o Tesouro ,SIM,Riquezas Encobertas Tesouros Escondidos ,34,50,16,0,22,
13/04/2025 21:49:00,13/04/2025,17:00:00,Culto,Culto de Celebração,Pastor Alberto ,A luz Revela o Tesouro ,SIM,Riquezas Encobertas Tesouros Escondidos ,35,48,5,2,22,
13/04/2025 21:52:11,13/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,A luz Revela o Tesouro ,SIM,Riquezas Encobertas Tesouros Escondidos ,49,60,22,10,27,
16/04/2025 20:40:52,16/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,"Quando a Fé se Levanta, os Inimigo Caem ",SIM,Vencendo Desafios ,31,47,12,0,22,
20/04/2025 10:24:50,20/04/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Cristo nossa Pascoa,SIM,Cristo nossa Pascoa ,27,36,10,2,20,
20/04/2025 21:36:45,20/04/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Cristo nossa Pascoa ,SIM,Cristo nossa Pascoa ,16,29,15,0,21,
20/04/2025 21:39:28,20/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Cristo nossa Pascoa ,SIM,Cristo nossa Pascoa ,52,101,34,7,27,
23/04/2025 21:08:49,23/04/2025,19:00:00,Culto,Culto de Quarta,Pastora Elizângela ,Inabaláveis na Fé ,SIM,Vencendo Desafios ,33,53,13,0,24,
27/04/2025 11:11:32,27/04/2025,08:30:00,Culto,Culto de Celebração,Pastora Cida ,Tesouros nas Profundezas,SIM,Requezas Encobertas Tesouros Escondidos ,22,33,8,2,22,
27/04/2025 21:40:40,27/04/2025,17:00:00,Culto,Culto de Celebração,Pastora Cida ,Tesouros nas Profundezas ,SIM,Riquezas Encobertas Tesouros Escondidos ,27,43,9,2,25,
27/04/2025 21:43:36,27/04/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Tesouros nas Profundezas ,SIM,Riquezas Encobertas Tesouros Escondidos ,101,122,42,11,29,Apelo- 3
30/04/2025 21:49:39,30/04/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Mais que Vencedores,SIM,Vencendo Desafios ,28,53,9,9,24,
04/05/2025 10:52:51,04/05/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Firmados na Rocha ,SIM,Minha Fé tem Fundamento ,40,61,21,0,32,Apelo- 1
04/05/2025 21:11:05,04/05/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Firmados na Rocha ,SIM,Minha Fé tem Fundamento ,34,47,13,4,29,
04/05/2025 21:13:58,04/05/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Firmados na Rocha ,SIM,Minha Fé tem Fundamento ,51,79,31,4,32,
07/05/2025 21:04:09,07/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Próspero ,SIM,TSALEACH ,38,53,13,0,22,
09/05/2025 22:00:17,09/05/2025,19:30:00,Culto,Pink,Pastora Cida ,Aliança ,NÃO,,0,189,20,12,28,Apelo- 13
09/05/2025 22:04:17,09/05/2025,19:30:00,Culto,Pink,Pastora Cida ,Aliança ,NÃO,,0,189,20,12,28,Apelo-  13
11/05/2025 10:29:18,11/05/2025,08:30:00,Culto,Culto de Celebração,Pastora Cida ,"Firmados na Palavra, Imparáveis na Fé ",SIM,Minha Fé tem Fundamento ,24,25,9,1,21,
11/05/2025 21:57:28,11/05/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,"Firmados na Palavra, Imparáveis na Fé ",SIM,Minha Fé tem Fundamento ,29,32,16,0,17,
11/05/2025 22:00:45,11/05/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,"Firmados na Palavra, Imparáveis na Fé ",SIM,Minha Fé tem Fundamento ,33,60,18,8,24,
14/05/2025 21:10:10,14/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Autorizado a Avançar,SIM,TSALEACH ,38,56,19,1,21,Apelo-  3
18/05/2025 10:27:22,18/05/2025,08:30:00,Culto,Culto de Celebração,Pr. Alberto ,"A Fé vem pelo Ouvir, e o Ouvir pela Palavra de Deus ",SIM,Minha Fé tem Fundamento ,41,47,13,0,20,
19/05/2025 01:11:58,18/05/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,"A Fé vem pelo Ouvir, e o Ouvir pela Palavra de Deus ",SIM,Minha Fé tem Fundamento ,24,46,12,3,23,
19/05/2025 01:16:21,18/05/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,"A Fé vem pelo Ouvir, e o Ouvir pela Palavra de Deus ",SIM,Minha Fé tem Fundamento ,64,87,39,8,32,
21/05/2025 21:14:10,21/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Chaves da Prosperidade ,SIM,TSALEACH ,28,54,17,3,21,
25/05/2025 10:52:44,25/05/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Transformados pela Fé,SIM,Minha Fé tem Fundamento ,33,54,14,0,21,
25/05/2025 21:47:08,25/05/2025,17:00:00,Culto,Culto de Celebração,Pastora Cida ,Transformados pela Fé ,SIM,Minha Fé tem Fundamento ,29,46,8,4,23,
25/05/2025 21:49:56,25/05/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Transformados pela Fé ,SIM,Minha Fé tem Fundamento ,39,49,22,5,29,Apelo-  2
28/05/2025 21:54:03,28/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,Prosperando no Deserto ,SIM,TSALEACH ,28,37,4,0,20,
01/06/2025 11:24:27,01/06/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Cristo o Ungido - Festa de Pentecostes ,NÃO,,18,29,10,2,23,
01/06/2025 22:05:19,01/06/2025,17:00:00,Culto,Culto de Celebração,Pastor Alberto ,Cristo o Ungido - Festa de Pentecostes ,NÃO,,34,40,8,8,25,
01/06/2025 22:08:40,01/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Cristo o Ungido - Festa de Pentecostes ,NÃO,,97,155,57,18,43,
04/06/2025 21:02:58,04/06/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Ele veio para libertar os cativos,SIM,,44,47,15,2,21,
08/06/2025 10:46:20,08/06/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Família para Deus ,SIM,Família para Deus ,31,49,11,1,22,
08/06/2025 21:56:27,08/06/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Família para Deus ,SIM,Família para Deus ,21,44,7,2,20,
08/06/2025 22:06:46,08/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Família para Deus ,SIM,Família para Deus ,38,48,28,4,30,
11/06/2025 21:38:50,11/06/2025,19:00:00,Culto,Culto de Quarta,Pastora Elizângela ,Seja Livre ,SIM,Ele veio para libertar os cativos ,32,49,13,3,19,
